#Grid-Scan using Optidos
#Timet: 20-06-24-13:54:23
#Unit: Gy
#Duration: 2 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
27.95;28.3;0;0.001892;0;0
28.15;28.3;0;0.001537;0;0
28.15;28.5;0;0.001304;0;0
27.95;28.5;0;0.001563;0;0
27.75;28.5;0;0.001896;0;0
27.55;28.5;0;0.002294;0;0
27.35;28.5;0;0.002744;0;0
27.15;28.5;0;0.003268;0;0
26.95;28.5;0;0.003828;0;0
26.75;28.5;0;0.004428;0;0
26.55;28.5;0;0.005046;0;0
26.35;28.5;0;0.005589;0;0
26.15;28.5;0;0.006062;0;0
25.95;28.5;0;0.006442;0;0
25.75;28.5;0;0.006653;0;0
25.55;28.5;0;0.00674;0;0
25.35;28.5;0;0.006577;0;0
25.15;28.5;0;0.006306;0;0
24.95;28.5;0;0.00593;0;0
24.75;28.5;0;0.005414;0;0
24.55;28.5;0;0.004821;0;0
24.35;28.5;0;0.004231;0;0
24.15;28.5;0;0.003628;0;0
23.95;28.5;0;0.003052;0;0
23.75;28.5;0;0.002571;0;0
23.55;28.5;0;0.002126;0;0
23.35;28.5;0;0.001753;0;0
23.15;28.5;0;0.001444;0;0
23.15;28.7;0;0.001224;0;0
23.35;28.7;0;0.001449;0;0
23.55;28.7;0;0.001742;0;0
23.75;28.7;0;0.002068;0;0
23.95;28.7;0;0.002435;0;0
24.15;28.7;0;0.002842;0;0
24.35;28.7;0;0.003262;0;0
24.55;28.7;0;0.003724;0;0
24.75;28.7;0;0.004158;0;0
24.95;28.7;0;0.004517;0;0
25.15;28.7;0;0.004807;0;0
25.35;28.7;0;0.005003;0;0
25.55;28.7;0;0.00514;0;0
25.75;28.7;0;0.005066;0;0
25.95;28.7;0;0.004921;0;0
26.15;28.7;0;0.004687;0;0
26.35;28.7;0;0.004317;0;0
26.55;28.7;0;0.003939;0;0
26.75;28.7;0;0.003492;0;0
26.95;28.7;0;0.003065;0;0
27.15;28.7;0;0.002664;0;0
27.35;28.7;0;0.002281;0;0
27.55;28.7;0;0.001926;0;0
27.75;28.7;0;0.001618;0;0
27.95;28.7;0;0.001343;0;0
28.15;28.7;0;0.001114;0;0
28.15;28.9;0;0.000933;0;0
27.95;28.9;0;0.001095;0;0
27.75;28.9;0;0.001311;0;0
27.55;28.9;0;0.001548;0;0
27.35;28.9;0;0.001804;0;0
27.15;28.9;0;0.002103;0;0
26.95;28.9;0;0.002384;0;0
26.75;28.9;0;0.002692;0;0
26.55;28.9;0;0.003007;0;0
26.35;28.9;0;0.003285;0;0
26.15;28.9;0;0.003506;0;0
25.95;28.9;0;0.003678;0;0
25.75;28.9;0;0.003806;0;0
